Sample,LOH:1p31.1-1p22.3,LOH:1q42.12-1q42.13,LOH:2q14.3-2q23.3,LOH:5q11.1-5q14.1,LOH:5q15-5q23.1,LOH:6q12-6q22.32,LOH:8p,LOH:10q23.1-10q25,LOH:12p13.32-12p12.3,LOH:13q12.3-13q21.1,LOH:13q21.1-13q33.1,LOH:16q12.1-16q24.3,LOH:17p,LOH:18q,LOH19p13.3-19p13.2,LOH:21q22.2-21q22.3,LOH:22q11.21-22q11.22,GAIN:3q21.2-3q29,GAIN: Whole Chr 7,GAIN: 8p23.3-8p22,GAIN:8q,GAIN: 9q12-9q21.11,GAIN: Whole Chr 19,GAIN: 22q.11.1-22q11.23,HD:10q23.1-10q25.1,ETS,SPOP,indels,PGA clonal,PGA subclonal,Ploidy,Intra/inter,Number of bkpts,Chromothripsis,Kataegis,AR_group,Obs_Sim_prop,del_bridges
PD13402,0,0,0,0,0,0.388485551,1,0,0,0,0,1,0,0.348227713,0,0,0,0,0,0,1,0,0,0,0,0,0,309,2.751335932,0.089622619,0,0.23,32,0,0,3,-0.151515152,0
PD13405,0,0,0,0.97015006,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.113188815,1,1,0,0,0,0,0,0,410,9.316557586,0.009383785,0,0.11,114,1,0,3,-0.114478114,4
PD13406,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,294,10.0055072,0.036214342,0,0.02,42,0,0,2,-0.083333333,3
PD13408,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0.416307874,0.228116104,0.291173874,0.178602361,0.474700557,0.066361032,0,0,0,1,531,4.581933775,0.179919639,0,0.13,150,1,1,3,-0.155737705,5
PD13410,0,0,1,0,0,0.909691321,0,0,0,0,0,0,0.863296916,0,0,1,0,0,0,0,0,0,0,0,0,1,0,472,0.926100355,0.00878701,0,0,22,0,0,2,-0.092592593,1
PD14706,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,535,3.421524793,0.001383361,0,0.22,122,0,0,1,0.139534884,3
PD14707,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.082961894,0,1,0,266,2.943463094,0.013730056,0,1,18,0,0,2,0.069444444,0
PD14708,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,329,4.813973287,0.071151457,0,-99,-99,-99,0,2,0.081632653,-99
PD14710,0,0,0,0,0,0,0.189502229,0,0,0.23001911,0.23001911,0,0,1,0,0,0.227342964,0,0,0,0,0,0,0,0,0,0,265,1.257381551,0.026534722,0,0.26,34,0,0,2,0.056818182,2
PD14711,0,0,0,0,0,1,1,0.252100265,0,1,1,0,0,0,0,0,0,0,1,0.221595057,0,0,0,0,0,0,1,355,4.322756521,0.003330089,0,0.04,136,1,0,3,-0.102040816,6
PD14712,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,214,1.9547447,0.002617946,0,0.29,18,0,0,1,0.166666667,0
PD14713,0,0,0,1,1,0,1,1,0,1,1,0.728820198,1,1,0,0,0,0,0,0.119835027,1,0.847819242,0,0,0,0,0,425,8.053921433,0.209336058,0,0,54,0,1,2,0,3
PD14714,0,0.231168843,0,0,0.634419177,0,0,0.284496011,1,0.120606004,0.120606004,0,0,0.405318781,0,0,0,0,0,0,0,0,0,0,0,1,0,344,1.284245865,0.096291844,0,0.39,32,0,1,1,0.12195122,3
PD14716,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,298,2.827831926,0.000930079,0,0.27,52,0,0,1,0.202702703,3
PD14717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203053188,0,0,0,0,0,0,0,1,0,347,0.129466628,0.002962447,0,-99,-99,-99,0,1,0.166666667,-99
PD14718,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,529,6.587342912,0.077946185,0,0.04,96,1,1,3,-0.091346154,4
PD14719,0,0,0,0,0,0,0.89804337,0,0.431206287,1,1,0.955420019,1,0,0,1,0,0,0,0,0,0.145888647,0,0,0,1,0,382,4.832323979,0.117181873,0,0.1,22,0,1,2,0.041666667,1
PD14733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,178,0.153096111,0.051059806,0,-99,-99,0,0,2,0.125,-99
PD14734,0,0,0,0.948483934,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,534,7.192336154,0.171851804,0,0.24,224,1,1,1,0.124161074,6
PD14735,1,0,0,0,0,0,1,0.595709941,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,263,2.520963206,0.005350173,0,0.24,42,0,0,2,-0.013888889,1
PD14736,0,0,0,0,0,1,0.654253749,0.625570999,0.646143564,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,199,1.464595795,0.037011788,0,0.5,174,0,1,1,0.146226415,5
PD18878,0,0,0.35294934,0,0,0,0,1,0.084890076,0,0,1,0,0,0.091563305,1,0.110610117,0.294013318,0.522032006,0,0,0,0,0,0,1,0,287,1.775702003,0.090417993,0,0.51,148,0,0,1,0.229885057,4
PD18879,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0.082200853,0,0,1,0,0,0,0,0,0,0.372921167,0,0,300,5.700209796,0.04712586,0,-99,-99,0,0,2,-99,-99
PD18882,0,1,0,0.231466989,1,1,1,0,1,1,1,0,0,0,0.095386389,0,0.632892897,1,0.30100852,0,0,0,0,0,0,0,1,377,9.809100515,0.036785734,0,0,142,1,1,3,-0.138392857,0
PD18883,0,0,0,0,0,0,0.852853227,0.339273643,0,0.825839526,0,1,0,0,0,0,0,1,0,0,0,0,0.060693366,0.105758055,0,1,0,354,3.00504781,0.044373239,0,0.24,98,0,1,1,0.114285714,5
PD18884,0,0,1,0,0,0,1,0.724022123,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.168430157,0,0,1,0,114,1.922761225,0.038114264,0,0.07,16,0,0,2,0.055555556,0
PD18885,0,1,0,0,0,0,0.784765891,1,0,0,0,0,0,0,0,0,0,0.115346681,0,0.062939362,0,0,0.074555019,0,0,1,0,193,1.792378581,0.086241187,0,0.43,40,0,0,1,0.153846154,2
PD18886,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0.154866637,0.08460051,0.614310771,1,0,1,0,1,657,22.48493086,0.104444438,0,0.15,148,1,1,3,-0.153361345,5
PD18887,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,378,5.586073364,0.010789317,0,0.5,36,0,0,2,0.116666667,1
PD18888,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0.36746252,0,1,0.557305468,0.32221667,0.056420957,0,0,0,308,8.922844755,0.274126003,0,0.17,14,0,0,2,-0.1,0
PD18889,0,0,0,0,0,0,0,0.557551502,1,0.555885501,0.555885501,0,0,0,0,0,0,0,0,0,0,0,0.065908756,0,0,1,0,523,1.176330955,0.063537936,0,0.25,110,0,1,1,0.096590909,4
PD18890,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.078249887,0,0,0,0,307,28.52692701,0.029526171,0,0.11,90,1,0,3,-0.111940299,2
PD18891,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.074730086,0.421749249,1,1,0.625383108,0.53122207,0,0,0,0,364,8.471015644,0.036312594,0,0.14,56,1,1,3,-0.115942029,2
PD18892,0,0,0.17095844,0,1,1,0.92041491,0,0,1,1,1,0.252822118,0.395470982,0,0,0,1,0.114645137,0.356640851,1,0,0.064751238,0.092732247,0,0,0,723,5.724904572,0.354901175,0,-99,-99,-99,0,2,-0.053763441,-99
PD18894,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0.097250267,1,0,0,0,0,1,0,0.944403134,1,0,275,5.475617906,0.037647265,0,0.28,110,1,0,2,0.067073171,2
PD18895,0.131802258,0,0,0.131110116,1,0.129692326,0.861159526,0.71372005,0.253628388,1,1,1,0.173411299,0.168943799,0,0.133885667,0,0.137247272,0,0,0,0,0.06047116,0,0,1,0,340,5.013980641,0.12084012,0,0.3,126,0,0,1,0.102272727,8
PD18896,0,0,0,0,0,0.955298483,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.080942897,0,0,0,0,206,0.419802706,0.045881096,0,0,6,0,0,2,-0.058823529,0
PD18897,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.184178229,0.177139031,0,0,0.327368211,0.473395811,0,0,1,0,330,16.13265154,0.406161611,1,-99,-99,-99,0,1,0.123893805,-99
PD18900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.080472113,0.608381691,0.06252104,0.869995702,0,1,0,333,2.084413856,0.179282639,0,0.33,96,0,1,1,0.125,5
PD18901,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0.201112362,1,1,0,0,1,1,0,0,0,423,11.8605448,0.031227394,0,0.2,42,0,1,2,-0.014925373,1
PD18903,0,0,0,0,0,0,0.687077182,1,0.651573734,0.344145664,0.344145664,0,0.648472922,1,0.081140798,0.71212583,0.141169167,0.645458539,0,0,0,0,0,0,0,1,0,345,2.309997344,0.372315556,0,0.22,330,0,0,2,-0.044334975,13
PD18905,0,0,0,0,0,0,1,0.573190461,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1005,5.186792978,0.020365648,0,-99,-99,0,0,1,0.25,-99
PD18907,0,1,0,1,1,1,1,0,0,1,1,0,0,0.178058037,0,0,1,1,1,0.110857906,1,0.127701738,0.099591151,0.209791997,0,1,1,244,13.42333787,0.368646934,0,0.06,94,0,1,3,-0.109022556,5
PD18908,1,0,0,0,0,0,1,0,0,0.798780829,0.752491425,0.353993265,0,0,0.082503877,1,0.36530587,0,1,0.139815974,0,0,0.194017901,0,0,1,0,338,1.692557016,0.312712235,0,0.2,66,1,0,2,-0.016129032,5
PD18909,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0.934456195,0,0,1,0,0,1,0.105111745,0.092877434,0,1,0,320,3.809801713,0.100098013,0,1,6,0,1,1,0.285714286,0
PD18910,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.641372315,0.6542511,0.675013218,0.675013218,0,1,0,0,0,0,186,1.314022851,0.235454925,0,0.08,14,0,1,2,0.125,0
PD18911,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.211606557,0,0.101214022,0.092457552,0,0,0,307,2.569204929,0.088300731,0,-99,-99,0,0,2,0.0625,-99
PD18912,0,0,0.617249609,0,0,0,0.188207769,0,0,0,0,1,0,0.912803806,0,1,0,0,1,0,0,0,0.125115406,0,0,1,0,281,3.726305412,0.046479318,0,-99,-99,-99,0,3,-0.121149897,-99
PD24354,0,0,0.175140532,0,0,0,0,0,0,0,0.169298991,0,0,0,0,1,0.539300542,0,0,0,0,0.469816228,0.063740356,1,0,0,0,279,0.40328249,0.133502803,0,-99,-99,0,0,2,-0.027777778,-99
PD24355,1,1,0.305998137,0.628425874,0.628425874,0.271049191,0.804829675,1,1,1,0,1,0.11644079,0.296681369,0.274793821,1,0.609317842,0.827474621,0,0,0,0,0,0,0,1,0,484,6.162914574,0.472666817,0,0.2,124,1,0,1,0.068,1
PD24356,0,0,0,0,0,0,0.299633118,0.854182898,0.633961343,0.694950816,0.695658889,0,0,0,0,1,0,0,0,0,0,0,0.080947995,0,0,1,0,459,0.679618183,0.076944219,0,0.35,62,0,0,1,0.1,1
PD24357,0.558275053,0,0,0,0,1,0,0,1,0.545164829,0.565021057,0,0,1,0,0,0,0,0.155104701,0,0,1,0,0.112943778,0,1,0,332,4.557473367,0.103567742,0,0.24,94,0,1,3,-0.088541667,2
PD24358,0,0,1,0,1,0.251550007,0.238520665,0,0,1,1,0,0,0,0,0,0.089030677,0,0,0,0,0,0,1,0,0,0,240,-99,-99,-99,-99,-99,-99,0,2,-0.004672897,-99
PD24359,0,0.312378414,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0.209474375,0,1,0,0,0.384509762,0,0,0,475,29.16251567,0.493337896,1,0.03,80,1,1,2,-0.020618557,4
PD24360,0,0,0,0,0,0,0.876731672,0,0,1,0,0.222102672,1,0.271487293,0.076726706,0,0.090546927,0.205795773,0,0,0.413889388,0,0,0,0,1,0,426,2.281018495,0.320676716,0,0.13,54,0,0,1,0.108695652,1
PD24362,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0.299609066,1,0.318045077,0,0,0,0,0,0,0,0,1,0,440,7.936389365,0.130405075,0,0.23,96,0,1,1,0.096385542,6
PD24363,0,0,0,0,0,1,0.107338209,0,0,0,0,1,0.098576984,0,0.127585829,1,0.078955464,0,0,0,0,0,0,0,0,1,0,181,1.951702751,0.05840677,0,-99,-99,1,0,2,0.04,-99
PD24364,0,0,0,0,0,1,0,0,1,0,0,1,0.086798786,0,0.065916302,1,0.081001757,0,0,0,0,0,0,0,0,1,0,381,4.23756606,0.043937755,0,-99,-99,-99,0,1,0.10483871,-99
PD24365,0,0,0,0,0,1,1,0.755792813,0,0.695816012,0.695816012,0,0,1,0.071300781,0.067623518,1,0,0,0,0,0,0,0,0,1,0,373,3.453384047,0.047986261,0,0.18,134,0,1,2,0.053571429,7
PD24366,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.12207926,0.269310527,0.107344652,1,1,1,1,0,0.720052979,0,0,0,0,552,15.19769079,0.160161165,0,0,12,1,0,2,0.03307393,1
PD24367,1,1,1,1,1,1,0.719181137,0,0.380457983,0,1,1,0,0,0,0,0,0,1,0.079105129,0,0,0.146246911,0,0,0,0,528,10.32825216,0.325067744,0,0.1,118,0,1,3,-0.06937799,3
PD24368,1,0,0,0.914164595,0,1,0.228380287,1,0,1,1,1,1,0,1,0,0,0.131235418,0.161620098,0,1,1,0.125369773,0,0.918761265,0,0,450,16.57426289,0.060595723,1,0.48,124,0,1,1,0.138095238,1
PD24369,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0.341424771,0.186130944,1,1,0.45487283,0.06270831,0.085311067,0,0,0,416,10.28707957,0.268795679,0,0.08,126,1,1,3,-0.16509434,3
PD24370,0,0,0,0.212071397,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0.065839162,0,0,0,0.063158915,0,0.936174544,1,0,456,6.082763372,0.041175679,0,0.22,158,1,0,1,0.118110236,6
PD24372,0,0,0,0,0,0,0,0,0.872253549,0,0,0,0,0,0,1,0,0,0,0,0,1,0.08319252,0,0,1,0,255,0.220277094,0.043874821,0,0,8,1,0,2,0,0
PD24375,0,0,0,0,0,0,0,0.847511951,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.1404295,0.124461288,0,1,0,256,2.240590573,0.034225704,0,0.13,34,0,1,2,-0.036585366,0
PD24376,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.239862909,1,0.086060663,0,0,1,0.086450405,0.128499511,0.849518691,0,0,367,4.069938076,0.03538138,0,0.11,100,0,1,2,0.020618557,2
